First handshake timeout try 1 time  Times passed 1000ms
First handshake Succeed! 
Acknowledge Second Handshake
Third handshake Succeed! 
Acknowledge package seqnum 456837
Acknowledge package seqnum 464837
Acknowledge package seqnum 472837
Acknowledge package seqnum 480837
Acknowledge package seqnum 488837
Acknowledge package seqnum 496837
Acknowledge package seqnum 504837
Acknowledge package seqnum 512837
Acknowledge package seqnum 520837
Acknowledge package seqnum 528837
Acknowledge package seqnum 536837
Acknowledge package seqnum 544837
Acknowledge package seqnum 552837
Acknowledge package seqnum 560837
Acknowledge package seqnum 568837
Acknowledge package seqnum 576837
Acknowledge package seqnum 584837
Acknowledge package seqnum 592837
Acknowledge package seqnum 600837
Acknowledge package seqnum 608837
Acknowledge package seqnum 616837
Acknowledge package seqnum 624837
Acknowledge package seqnum 632837
Acknowledge package seqnum 640837
Acknowledge package seqnum 648837
Acknowledge package seqnum 656837
Acknowledge package seqnum 664837
Acknowledge package seqnum 672837
Acknowledge package seqnum 680837
Acknowledge package seqnum 688837
Acknowledge package seqnum 696837
Acknowledge package seqnum 704837
Acknowledge package seqnum 712837
Acknowledge package seqnum 720837
Acknowledge package seqnum 728837
Acknowledge package seqnum 736837
Acknowledge package seqnum 744837
Acknowledge package seqnum 752837
Acknowledge package seqnum 760837
Acknowledge package seqnum 768837
Acknowledge package seqnum 776837
Acknowledge package seqnum 784837
Acknowledge package seqnum 792837
Acknowledge package seqnum 800837
Acknowledge package seqnum 808837
Acknowledge package seqnum 816837
Acknowledge package seqnum 824837
Acknowledge package seqnum 832837
Acknowledge package seqnum 840837
Acknowledge package seqnum 848837
Acknowledge package seqnum 856837
Acknowledge package seqnum 864837
Acknowledge package seqnum 872837
Acknowledge package seqnum 880837
Acknowledge package seqnum 888837
Acknowledge package seqnum 896837
Acknowledge package seqnum 904837
Acknowledge package seqnum 912837
Acknowledge package seqnum 920837
Acknowledge package seqnum 928837
Acknowledge package seqnum 936837
Acknowledge package seqnum 944837
Acknowledge package seqnum 952837
Acknowledge package seqnum 960837
Acknowledge package seqnum 968837
Acknowledge package seqnum 976837
Acknowledge package seqnum 984837
Acknowledge package seqnum 992837
Acknowledge package seqnum 1000837
Acknowledge package seqnum 1008837
Acknowledge package seqnum 1016837
Acknowledge package seqnum 1024837
Acknowledge package seqnum 1032837
Acknowledge package seqnum 1040837
Acknowledge package seqnum 1048837
Acknowledge package seqnum 1056837
Acknowledge package seqnum 1064837
Acknowledge package seqnum 1072837
Acknowledge package seqnum 1080837
Acknowledge package seqnum 1088837
Acknowledge package seqnum 1096837
Acknowledge package seqnum 1104837
Acknowledge package seqnum 1112837
Acknowledge package seqnum 1120837
Acknowledge package seqnum 1128837
Acknowledge package seqnum 1136837
Acknowledge package seqnum 1144837
Acknowledge package seqnum 1152837
Acknowledge package seqnum 1160837
Acknowledge package seqnum 1168837
Acknowledge package seqnum 1176837
Acknowledge package seqnum 1184837
Acknowledge package seqnum 1192837
Acknowledge package seqnum 1200837
Acknowledge package seqnum 1208837
Acknowledge package seqnum 1216837
Acknowledge package seqnum 1224837
Acknowledge package seqnum 1232837
Acknowledge package seqnum 1240837
Acknowledge package seqnum 1248837
Acknowledge package seqnum 1256837
Acknowledge package seqnum 1264837
Acknowledge package seqnum 1272837
Acknowledge package seqnum 1280837
Acknowledge package seqnum 1288837
Acknowledge package seqnum 1296837
Acknowledge package seqnum 1304837
Acknowledge package seqnum 1312837
Acknowledge package seqnum 1320837
Acknowledge package seqnum 1328837
Acknowledge package seqnum 1336837
Acknowledge package seqnum 1344837
Acknowledge package seqnum 1352837
Acknowledge package seqnum 1360837
Acknowledge package seqnum 1368837
Acknowledge package seqnum 1376837
Acknowledge package seqnum 1384837
Acknowledge package seqnum 1392837
Acknowledge package seqnum 1400837
Acknowledge package seqnum 1408837
Acknowledge package seqnum 1416837
Acknowledge package seqnum 1424837
Acknowledge package seqnum 1432837
Acknowledge package seqnum 1440837
Acknowledge package seqnum 1448837
